transport_id,application_id,amt_decision_w,amt_loan_w,month_release,MobDr1to3_od1,MobDr1to3_od10,MobDr1to6_od1,MobDr1to6_od10,MobDr1to6_od30
42598,56525,4,4,2015-12,0,0,0,0,0
43577,57506,10,10,2016-01,0,0,0,0,0
47301,61226,20,20,2015-12,0,0,0,0,0
45657,59580,35,35,2016-01,1,0,1,0,0
49913,63838,3,3,2016-01,1,1,1,1,1
52013,65938,9,9,2016-01,1,0,1,0,0
52015,65940,3,3,2016-01,1,1,1,1,0
51354,65279,20,20,2016-01,0,0,0,0,0
56862,70806,10,10,2016-02,0,0,0,0,0
57065,71009,1.8,1.8,2016-01,0,0,0,0,0
56811,70755,10,10,2016-01,1,0,1,0,0
60786,74727,12,12,2016-01,1,0,1,0,0
66167,80115,20,20,2016-01,0,0,0,0,0
66763,80715,8,8,2016-02,1,0,1,0,0
67470,81425,5,5,2016-03,0,0,0,0,0
69578,83533,10,10,2016-02,0,0,1,0,0
69814,83769,6,6,2016-02,0,0,0,0,0
69298,83253,10,10,2016-02,0,0,0,0,0
71931,85886,15,15,2016-02,0,0,0,0,0
73468,87424,10,2,2016-02,0,0,1,0,0
75461,89418,2,2,2016-03,1,1,1,1,1
76876,90833,9,9,2016-03,0,0,0,0,0
82129,96088,3.2,3,2016-03,0,0,0,0,0
84665,98625,5,5,2016-03,0,0,0,0,0
81957,95916,50,50,2016-04,0,0,0,0,0
84730,98690,30,10,2016-03,1,0,1,0,0
84759,98719,15,15,2016-03,1,0,1,0,0
84867,98827,2,2,2016-04,0,0,0,0,0
86291,100251,10,10,2016-04,0,0,0,0,0
89449,103410,20,20,2016-04,1,0,1,0,0
89926,103887,5,5,2016-04,0,0,0,0,0
90995,104956,5,5,2016-04,0,0,0,0,0
93729,107694,30,20,2016-04,0,0,0,0,0
95253,109218,6,11,2016-04,0,0,0,0,0
95151,109116,15,11.8,2016-04,0,0,0,0,0
93717,107682,5,5,2016-04,0,0,0,0,0
97548,111513,20,20,2016-05,1,0,1,0,0
95564,109529,10,10,2016-05,0,0,0,0,0
100056,114021,10,10,2016-05,1,0,1,0,0
101467,115437,2.7,2.7,2016-05,0,0,0,0,0
103531,117501,20,20,2016-05,0,0,0,0,0
103870,117841,9,9,2016-06,1,0,1,0,0
103957,117928,20,12,2016-05,0,0,0,0,0
104609,118582,10,5,2016-06,0,0,1,0,0
104875,118848,11,5,2016-05,0,0,0,0,0
103240,117210,20,20,2016-06,0,0,0,0,0
106027,119999,2,2,2016-06,0,0,0,0,0
106131,120103,10,10,2016-06,0,0,1,0,0
106164,120136,2,2,2016-06,0,0,0,0,0
106318,120290,2,2,2016-06,0,0,0,0,0
106310,120282,2,2,2016-06,0,0,0,0,0
107388,121360,18,18,2016-06,0,0,0,0,0
109552,123524,5,5,2016-06,0,0,0,0,0
110237,124209,5,5,2016-06,0,0,0,0,0
110972,124944,6,7,2016-06,1,0,1,1,1
109317,123289,5,5,2016-06,1,0,1,0,0
112686,126663,20,20,2016-07,1,0,1,0,0
114667,128645,3,3,2016-07,1,0,1,0,0
116192,130170,20,12.14,2016-07,1,0,1,0,0
115161,129139,18,18,2016-07,1,0,1,0,0
116783,130761,11,11,2016-07,1,0,1,1,1
118575,132562,20,9.9,2016-07,0,0,0,0,0
119140,133127,2,2,2016-07,0,0,0,0,0
118325,132308,8,8,2016-07,0,0,0,0,0
119159,133146,5,5,2016-07,0,0,1,0,0
118347,132330,30,30,2016-08,0,0,0,0,0
119436,133423,3,3,2016-07,1,0,1,0,0
119524,133511,15,15,2016-07,0,0,0,0,0
120865,134852,3,3,2016-08,0,0,0,0,0
121684,135671,18.5,18.5,2016-08,1,0,1,0,0
122203,136190,2,2,2016-08,0,0,0,0,0
122039,136026,12,12,2016-08,0,0,0,0,0
124200,138187,12.5,10.8,2016-08,0,0,0,0,0
126830,140820,25,25,2016-08,0,0,0,0,0
127147,141137,20,23.1,2016-08,0,0,0,0,0
127550,141541,25,12,2016-08,0,0,0,0,0
127436,141426,15,15,2016-09,0,0,0,0,0
128563,142554,15,15,2016-08,0,0,0,0,0
129947,143934,8.8,3,2016-09,0,0,0,0,0
132342,146329,21.5,21.5,2016-09,0,0,0,0,0
132960,146948,4.2,3,2016-09,0,0,0,0,0
134315,148305,1.7,1.0177,2016-09,0,0,0,0,0
134107,148097,15,7.7822,2016-09,0,0,0,0,0
135451,149441,25,14.8508,2016-09,0,0,0,0,0
133846,147835,10,10,2016-09,0,0,0,0,0
136420,150444,5,2,2016-10,0,0,0,0,0
136501,150525,4.4,3.2208,2016-09,0,0,0,0,0
136514,150538,8.7,8.7,2016-09,0,0,0,0,0
136707,150731,20,20,2016-10,0,0,0,0,0
132630,146617,15,15,2016-10,0,0,0,0,0
138725,152855,5.7,0.6254,2016-10,0,0,0,0,0
137801,151876,9.6,9.6,2016-10,0,0,1,0,0
140556,154703,2,2,2016-11,0,0,0,0,0
139815,153962,25,15.74,2016-10,0,0,0,0,0
141113,155260,15.8,15.8,2016-10,1,0,1,0,0
141181,155328,4,2.3004,2016-10,1,1,1,1,1
140571,154718,10,10,2016-10,1,0,1,0,0
141355,155502,10.5,10.5,2016-10,0,0,0,0,0
141634,155781,30,19.8508,2016-10,0,0,0,0,0
142696,156843,20,20,2016-10,0,0,0,0,0
143533,157680,20,20,2016-11,0,0,0,0,0
142775,156922,20,20,2016-10,0,0,1,0,0
144684,158839,2.7,2,2016-11,1,0,1,0,0
144728,158883,5,5,2016-11,0,0,0,0,0
145137,159296,20,15,2016-11,1,0,1,0,0
145401,159560,20,20,2016-12,0,0,0,0,0
146152,160311,8.8,4.9655,2016-11,0,0,0,0,0
146633,160792,7.9,7.9,2016-12,0,0,0,0,0
146817,160976,2,2,2016-11,1,0,1,0,0
149394,163558,4.6,1.3,2016-11,0,0,0,0,0
148753,162915,20,20,2016-12,0,0,0,0,0
151432,165596,20,20,2016-11,0,0,0,0,0
150996,165160,20,20,2016-12,0,0,1,0,0
152332,166496,4.7,1,2016-12,0,0,1,0,0
154172,168346,16,16,2016-12,0,0,0,0,0
154202,168376,25,11.8626,2017-01,0,0,0,0,0
157820,171988,10.6,10,2016-12,0,0,1,0,0
157379,171547,60,60,2017-01,0,0,0,0,0
160987,175155,8.6,2.9755,2017-01,0,0,1,0,0
161029,175197,14.4,14.4,2017-01,0,0,0,0,0
161477,175645,8.3,5,2017-01,0,0,0,0,0
162793,176974,10,3.6847,2017-01,0,0,0,0,0
163253,177434,2,1.4836,2017-01,0,0,0,0,0
165320,179502,6.6,6.6,2017-01,0,0,0,0,0
164177,178358,40,40,2017-01,0,0,0,0,0
166915,181097,4,4,2017-02,0,0,0,0,0
168476,182659,2.1,1,2017-02,0,0,0,0,0
168502,182685,50,50,2017-02,0,0,0,0,0
169970,184154,25,25,2017-02,0,0,0,0,0
170290,184474,8.1,2.7087,2017-02,0,0,0,0,0
169578,183762,30,30,2017-02,0,0,1,1,1
172948,187132,4.8,4.8,2017-03,0,0,0,0,0
173448,187632,9,9,2017-03,0,0,0,0,0
173863,188048,2,1.2,2017-03,0,0,0,0,0
174526,188711,10,10,2017-03,0,0,0,0,0
174733,188918,25,10.0552,2017-03,0,0,0,0,0
175185,189370,18,18,2017-03,0,0,0,0,0
175405,189590,2.7,2.7,2017-03,0,0,0,0,0
176087,190272,15,15,2017-04,0,0,0,0,0
177343,191540,13.7,9,2017-03,0,0,1,0,0
177812,192009,3,1,2017-04,0,0,0,0,0
179241,193456,2.3,2.3,2017-04,0,0,0,0,0
179559,193774,2,2,2017-04,0,0,0,0,0
180079,194294,5.9,3,2017-04,0,0,0,0,0
181138,195353,8.1,8.1,2017-04,1,0,1,0,0
181990,196206,18,18,2017-04,0,0,0,0,0
182672,196888,2.7,2.7,2017-05,0,0,0,0,0
183461,197678,2.1,2.1,2017-05,0,0,1,0,0
183530,197747,16.8,16.8,2017-05,0,0,0,0,0
183973,198190,30,30,2017-05,0,0,0,0,0
181671,195887,25,16.1326,2017-05,0,0,0,0,0
185936,200175,2.8,0.3998,2017-06,0,0,0,0,0
187185,201427,10,10,2017-05,0,0,0,0,0
190430,204681,10.9,4.98,2017-06,0,0,0,0,0
191285,205535,3,3.4042,2017-06,0,0,0,0,0
191335,205585,20,20,2017-06,0,0,1,0,0
191412,205662,18,18,2017-06,0,0,0,0,0
191863,206113,11.4,8.52,2017-06,1,0,1,0,0
195790,210094,25,25,2017-08,0,0,0,0,0
195694,209998,25,8.251,2017-07,1,0,1,0,0
196214,210518,25,25,2017-08,0,0,0,0,0
196420,210724,9.1,9.1,2017-07,0,0,0,0,0
196471,210775,20,20,2017-07,0,0,0,0,0
197891,212203,9,5,2017-07,1,0,1,0,0
204137,218483,25,25,2017-09,0,0,0,0,0
206299,220665,20,16,2017-10,0,0,0,0,0
206712,221078,10,10,2017-10,1,0,1,0,0
207631,222002,100,100,2017-10,0,0,0,0,0
211325,225692,20,20,2017-11,0,0,0,0,0
209418,223789,100,100,2017-11,0,0,0,0,0
212427,226798,100,100,0000-00,0,0,0,0,0
215070,229436,16,10.8,2017-11,0,0,0,0,0
216332,230698,20,16.4986,2017-12,1,0,1,0,0
220040,234407,50,50,2018-01,0,0,1,0,0
221468,235836,25,21.6378,2018-03,0,0,1,1,0
228740,243106,25,6.7721,2018-03,0,0,0,0,0
230775,245190,25,25,2018-03,1,0,1,0,0
232314,246732,100,113.4779,2018-03,0,0,0,0,0
234554,248982,25,25,2018-04,0,0,0,0,0
235340,249767,25,25,2018-04,0,0,0,0,0
236508,250936,25,25,2018-04,1,0,1,0,0
236164,250592,25,8.0483,2018-04,1,0,1,0,0
237187,251615,20,20,2018-04,0,0,0,0,0
238895,253326,5,5,2018-05,0,0,0,0,0
242968,257393,25,11.1472,2018-06,0,0,0,0,0
245430,259864,20,20,2018-07,0,0,0,0,0
246152,260586,25,25,2018-07,0,0,0,0,0
246164,260598,20,20,2018-07,0,0,0,0,0
247964,262425,80,80,2018-07,0,0,0,0,0
250310,264797,80,80,2018-08,0,0,0,0,0
36804,50710,7,5,2015-11,1,0,1,0,0
38512,52419,10.23404255,10.2,2015-12,1,0,1,0,0
38556,52463,2,2,2015-12,0,0,0,0,0
39072,52995,10,10,2015-12,1,0,1,0,0
39087,53010,30,30,2015-12,1,0,1,0,0
39895,53819,2.5,2.5,2016-01,0,0,0,0,0
39907,53831,4.2,4.2,2015-12,0,0,0,0,0
40199,54123,17.8,7.1,2016-01,0,0,0,0,0
40271,54195,20,20,2015-12,0,0,0,0,0
40806,54732,4,4,2015-12,0,0,1,1,1
40918,54844,7,7,2015-12,0,0,0,0,0
41189,55114,5,5,2015-12,0,0,0,0,0
41270,55196,2,2,2015-12,1,0,1,0,0
41628,55568,10,10,2015-12,0,0,0,0,0
41656,55583,15,15,2015-12,0,0,0,0,0
41733,55658,4,4,2015-12,0,0,0,0,0
41898,55823,5.038297872,5,2015-12,0,0,0,0,0
41983,55908,2,2,2015-12,0,0,0,0,0
42593,56520,20,20,2015-12,0,0,0,0,0
42644,56571,20,10.9,2016-01,0,0,0,0,0
43868,57798,15,15,2015-12,0,0,0,0,0
45267,59189,4.487234043,4.5,2015-12,0,0,1,0,0
45430,59352,15,3.8,2015-12,1,0,1,1,1
45462,59384,3,3,2016-01,1,0,1,0,0
45913,59835,8,8,2015-12,0,0,1,0,0
46550,60475,2,2,2015-12,1,0,1,0,0
46904,60829,7.6,8.2,2015-12,0,0,0,0,0
47135,61060,9,9,2015-12,0,0,0,0,0
49222,63147,3,3,2015-12,0,0,0,0,0
49458,63383,5.038297872,0.5,2016-01,1,0,1,0,0
49388,63313,9.99787234,10,2016-01,0,0,0,0,0
50746,64671,10.2,10,2016-01,0,0,1,0,0
51518,65443,4,2.2,2016-01,0,0,0,0,0
51818,65743,20,20,2016-01,0,0,1,0,0
52810,66735,20,19.9,2016-01,1,0,1,0,0
53144,67069,10,10,2016-01,1,0,1,0,0
53317,67242,11.80851064,9,2016-01,1,0,1,0,0
54463,68389,20,20,2016-01,0,0,0,0,0
54818,68744,2,2,2016-01,1,1,1,1,0
52980,66905,10,10,2016-01,0,0,0,0,0
55706,69637,13,13,2016-01,0,0,1,0,0
53431,67357,8,8,2016-01,0,0,1,0,0
56089,70025,12,12,2016-01,0,0,0,0,0
56207,70143,5.038297872,5,2016-01,1,0,1,0,0
56328,70264,5,5,2016-01,0,0,0,0,0
57310,71254,2.5,2.5,2016-01,1,0,1,0,0
57580,71524,3,3,2016-01,0,0,0,0,0
57179,71123,5,5,2016-01,0,0,0,0,0
56837,70781,50,29.4,2016-01,0,0,0,0,0
61869,75810,2,2,2016-01,0,0,0,0,0
55741,69672,30,30,2016-01,0,0,0,0,0
61876,75817,8,8,2016-01,0,0,0,0,0
56020,69951,60,60,2016-01,0,0,0,0,0
61675,75616,15,15,2016-01,0,0,0,0,0
61779,75720,2,2,2016-01,0,0,0,0,0
62298,76237,20,20,2016-01,0,0,0,0,0
62376,76317,1,1,2016-01,0,0,0,0,0
63207,77146,15,10.4,2016-01,0,0,0,0,0
64542,78483,10,10,2016-01,0,0,0,0,0
58407,72343,2,2,2016-01,1,0,1,0,0
58733,72669,10,10,2016-01,0,0,0,0,0
65806,79747,2,2.1,2016-01,0,0,0,0,0
65615,79556,5.1,5.1,2016-01,0,0,1,1,1
63212,77151,30,30,2016-02,0,0,1,0,0
65935,79882,7.872340426,7.9,2016-02,0,0,1,1,1
66890,80842,8,5.8,2016-02,0,0,0,0,0
64170,78111,80,80,2016-02,0,0,0,0,0
68493,82448,10,10,2016-02,0,0,0,0,0
69763,83718,5,5,2016-02,1,0,1,0,0
