"","X","amt_above_atv10_pred","app_id","assessment","atv","businessLicense","businessScope","businessType","cash","companyCode","companyPhone","crawled_at","credit","emergencyContact","emergencyContactPhone","gmv_amt","gmv_avg","gmv_cnt","gmv_month","gmv_rstd","has_sz","income","income_before_wash","is_assessment_better","is_pop","limit","limit_before_loan","limit_before_loan_fluct","loan_amt","loan_balance","loan_cnt","loan_quality","mainBusiness","max_active_days","max_overdue_amt","max_overdue_amt_p","max_overdue_days","overdue_current","overdue_loan_amt","overdue_loan_amt_p","overdue_loan_cnt","platform","punish_fake_amt","punish_fake_cnt","punish_normal_amt","punish_normal_cnt","punish_serious_amt","punish_serious_cnt","punish_total_amt","punish_total_cnt","punish_wash_amt","punish_wash_cnt","refund_amt","refund_rate","registeredCapital","remDays","shop_type","taxpayerCode","transport_id","weight_account","weight_busi","weight_fluct","weight_loan","weight_refuse","weight_time","target","num"
"1",0,NA,221034,"9.47",98.2646231156,"370214230094380","服饰内衣","厂商直营旗舰店",0,"05308201-1","15610569358","2017-07-07 11:51:27",0,NA,NA,175771.6,14647.6333333,12,14,0.65722912124,"True",13182.87,13182.87,"True","",0,10535.8851444,8428.70811556,40345,57766.75,7,"False","服饰内衣",401,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,0,NA,"50万元","268
                                                天","SOP",370214053082011,54399,1.045,1,0.8,1,1,1.0197260274,0,1
"2",1,398,173560,"9.27",99.5631892167,"330215000098671","食品饮料","专营店",226.21,"31681018-1","0574-59953733","2017-01-11 10:58:04",0,NA,NA,782964.92,65247.0766667,12,14,0.562211070978,"",64844.3036974,65242.3036974,"True","True",46480.0415791,46480.0415791,46480.0415791,8120,11721.2,2,"False","食品饮料",376,0,0,0,"False",0,0,0,"JINGDONG",0,0,26,7,0,0,26,7,0,0,991.8,0.00731522312832,"100万元","80
                                                天","SOP",330207316810181,163104,0.95,1,1,1,0,1.00602739726,0,1
"3",2,96,173622,"9.71",73.613460414,"110106013938878","礼品箱包","专营店",2868.23,"57693764-8","13552072197","2017-01-11 11:56:08",0,NA,NA,1258937.4,104911.45,12,14,0.160119547635,"",104809.83046,104905.83046,"True","True",90152.5346077,75127.1121731,90152.5346077,0,0,0,"False","礼品箱包",376,0,0,0,"False",0,0,0,"JINGDONG",0,0,5,1,0,0,5,1,0,0,356,0.00535646040282,"100万元","80
                                                天","SOP",110106576937648,163140,0.95,1,1.2,1,1,1.00602739726,0,1
"4",3,0,173624,"9.56",79.5932489451,"110106013938878","礼品箱包","厂商授权旗舰店",1033.63,"57693764-8","13552072197","2017-01-11 11:58:08",0,NA,NA,169772.4,14147.7,12,14,0.933041391204,"",14145.9261997,14145.9261997,"True","True",9962.99520041,12453.7440005,9962.99520041,0,0,0,"False","礼品箱包",590,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,378,0.0125377292779,"100万元","80
                                                天","SOP",110106576937648,163140,1.045,1,0.8,1,1,1.12328767123,0,1
"5",4,0,173626,"9.37",37.5414141414,"110106018793752","礼品箱包","厂商授权旗舰店",159,"33547313-3","010-83317211","2017-01-11 12:00:12",0,NA,NA,148664,12388.6666667,12,14,0.666092596023,"",12388.3991283,12388.3991283,"True","True",7931.96952403,9914.96190504,7931.96952403,0,821.36,0,"False","礼品箱包",590,0,0,0,"False",0,0,0,"JINGDONG",0,0,1,1,0,0,1,1,0,0,49,0.0021595416483,"100万元","80
                                                天","SOP",110106335473133,163140,0.95,1,0.8,1,1,1.12328767123,0,1
"6",5,243.75,173640,"9.43",73.9226389638,"330702000095649","家具","专卖店",NA,"30738501-3","18869941855","2017-01-11 12:26:12",NA,NA,NA,136978.65,17122.33125,8,14,0.20082504275,"",15166.348125,15410.098125,"True","True",9965.22563,8304.35469166,9965.22563,0,NA,0,"False","家具",255,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"50万元","80
                                                天","SOP",330702307385013,163150,1.045,1,1.2,1,1,0.698630136986,0,1
"7",6,2310.75,173614,"9.55",167.866335552,"91440101587632153","礼品箱包","厂商授权旗舰店",1718.08,"91440101587632153G","13924302882","2017-01-11 11:52:13",0,NA,NA,3415641.25,284636.770833,12,14,0.227036019322,"",282261.855905,284572.605905,"True","True",209484.422086,241333.886799,289600.664158,494000,258459.61,10,"False","礼品箱包",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,43,6,50,2,93,8,0,0,9380.06,0.0225427404501,"300万元","80
                                                天","SOP",91440101587632160,163153,0.95,1,1.2,1,0,1.2,0,1
"8",7,2655.63333333,173623,"9.49",40.5849752436,"91440101587632153","手机","专营店",3679.55,"91440101587632153G","13924302882","2017-01-11 11:56:05",0,NA,NA,1597669.77,133139.1475,12,14,0.219588305112,"",130465.401362,133121.034695,"True","True",7475.08163385,111547.918164,133857.501797,183000,298166.8,10,"True","手机",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,50,10,0,0,50,10,0,0,2189.65,0.013604417234,"300万元","80
                                                天","SOP",91440101587632160,163153,0.95,1,1.2,1,0,1.2,0,1
"9",8,3664.86583333,173625,"9.55",78.3480929566,"91440101587632153","手机","厂商直营旗舰店",7532.67,"91440101587632153G","13924302882","2017-01-11 11:58:05",0,NA,NA,3665634.87,305469.5725,12,14,0.16099093824,"",301739.384302,305404.250135,"True","True",27861.5461625,257987.173578,309584.608294,208000,668451.43,10,"True","手机",772,0,0,0,"False",0,0,0,"JINGDONG",0,0,46,10,0,0,46,10,0,0,7127.45,0.0213842459272,"300万元","80
                                                天","SOP",91440101587632160,163153,0.95,1,1.2,1,0,1.2,0,1
"10",9,333340,173641,"9.72",479.907184998,"310115002282158","食品饮料","厂商直营旗舰店",NA,"09354852—-5","18616341854","2017-01-11 12:30:09",NA,NA,NA,2277639.5,569409.875,4,14,1.21503083335,"",179128.8875,512468.8875,"True","True",0,0,0,0,NA,0,"False","食品饮料",132,0,0,0,"False",0,0,0,"JINGDONG",0,0,0,0,0,0,0,0,0,0,NA,NA,"50万元","80
                                                天","SOP",310115093548525,163172,1.045,1,0.5,1,1,0,0,1
