transport_id,fluctuate_amt_w,punish_normal_amt,loan_cnt,atv,cash,max_active_days
163140,11.86525018,5,0,73.61346041,2868.23,376
163140,11.86525018,0,0,79.59324895,1033.63,590
163172,2.727532663,0,0,479.907185,NA,132
163172,2.727532663,3,0,43.6687127,NA,590
163226,68.27627202,9,7,1842.686683,8153.25,316
163253,1.295726659,13,0,100.1589235,825.43,772
163274,219.813196,11,5,816.5375997,64969.52,772
163539,2.07377766,0,0,244.21875,NA,72
163539,2.07377766,0,0,249.9092308,NA,164
163846,75.31273329,0,2,1738.501671,12224.19,774
163867,17.3118818,0,8,1158,147.98,774
163971,203.1991555,3,8,355.7740447,1111.33,592
163971,203.1991555,2,4,202.9505413,597.13,774
164159,8.339179444,1,4,155.8862073,0,593
164159,8.339179444,5,0,227.6372734,362.44,379
164177,307.6393136,15,1,174.7227916,148.78,592
164627,24.35787401,20,3,21.07502097,0,777
164627,24.35787401,10,5,18.80227232,0,777
164987,38.90318819,1,5,369.754186,2011.25,778
165050,7.859244789,25,0,184.6716163,1906.44,596
165320,6.643707328,21,0,201.3276332,NA,780
165320,6.643707328,1,0,271.1088001,NA,779
165479,59.3136465,14,8,202.7241801,255.74,780
165479,59.3136465,5,6,109.3242491,446.48,598
165562,2.35772343,2,4,140.9689219,9852.17,384
165775,5.247873857,11,1,107.238784,246.39,599
165962,8.494115318,18,0,101.0273167,NA,325
166037,34.30942006,2,4,112.042328,9475.31,600
166326,6.573548555,0,1,318.906838,6657.69,235
166464,28.92902373,2,10,71.87158591,2971.51,782
166844,8.620699721,24,0,223.9509086,NA,396
166844,8.620699721,0,3,335.5285616,104.02,792
166915,3.9783737,0,8,148.1483547,2.46,767
167436,11.20305117,18,0,81.82936146,NA,768
167462,18.24563746,5,10,134.0401134,802.16,768
167462,18.24563746,0,10,94.38967584,146.85,372
167537,12.48208258,0,0,108.2988954,NA,768
167590,2.456638548,3,0,123.2088133,NA,588
167859,8.07452749,0,0,386.6808346,2143.59,589
167859,8.07452749,4,0,242.1824561,4.97,374
167957,42.90625929,10,0,53,122.92,770
167957,42.90625929,12,0,55.71633462,294.49,770
168063,10.73414886,6,7,195.792196,5148.77,771
168170,67.98226534,15,9,79.06330071,0,590
168170,67.98226534,0,1,62.96070043,0,254
168435,15.80661353,3,8,65.18675729,337.56,593
168435,15.80661353,3,7,78.11976057,97.35,774
168456,20.50927805,5,0,185,NA,774
168476,2.326881238,25,7,91.35708155,131.27,593
168502,95.73593319,10,0,144.1351386,NA,593
168502,95.73593319,1,9,123.8960205,0,774
168567,6.961094717,2,1,167.7042093,0,774
168567,6.961094717,15,10,168.2339533,0,774
168698,31.02101529,0,6,38.18749366,0,775
168720,74.18419555,6,3,178.2896645,28041.3,594
168720,74.18419555,1,4,194,805.72,775
168804,6.842446634,8,0,20.69977836,NA,196
168831,25.53165312,21,9,102.7029877,0,775
168958,46.61821836,0,2,209.3711384,1617.68,775
168958,46.61821836,0,2,197.0514928,3210.69,594
168967,117.176031,0,0,92.5528275,0,229
168967,117.176031,8,0,70.46693454,0,595
168990,449.1873957,11,10,143.2778667,1.2,595
168990,449.1873957,14,9,194.5772075,5.16,776
169011,2.169057755,23,0,235.0835821,NA,596
169087,4.623794752,1,8,51.75454386,415.47,381
169210,11.09819218,8,9,155.7696522,637.35,596
169210,11.09819218,0,0,148.7095238,221.21,168
169551,8.446754083,15,10,168.2339533,0,774
169551,8.446754083,2,1,167.7042093,0,774
169578,158.5287465,1,6,439.0115559,8335.98,779
169578,158.5287465,2,0,1540.780457,NA,293
169656,44.61650551,2,8,356.7855415,6488.88,780
169656,44.61650551,26,2,213.1699568,316.84,599
169736,9.677461923,15,7,1319.061586,1342.68,780
169876,6.058591895,15,0,218.7534244,NA,781
169970,40.72149748,0,1,105.3496061,0.09,385
169970,40.72149748,6,1,114.1521904,0.56,781
170166,7.708154703,10,5,35.53897302,8717.68,601
170171,25.53070068,20,1,556.3774926,28648.83,386
170290,8.132349958,1,8,444.5146145,5367.91,783
170609,28.07686932,10,4,130.3520372,345.27,388
170609,28.07686932,0,0,230.6826521,530.44,206
170805,6.98121399,10,0,140.5308066,NA,604
171354,17.56072238,15,6,60.417812,0,392
171398,3.956157265,3,8,105.5031946,0.74,788
171599,6.313911194,26,0,94.10231864,NA,608
171599,6.313911194,2,0,98.75465675,NA,789
171604,29.49412465,0,0,105.7912028,NA,180
171604,29.49412465,21,1,69.17556652,6331.02,608
171755,39.76451027,6,0,99.02633566,1434.07,759
171755,39.76451027,19,5,84.47268424,20563.34,759
171777,8.391313081,10,2,40.11710182,36.94,578
171777,8.391313081,0,0,92.83616451,7084.37,273
171879,7.896328752,10,0,220.7996753,NA,334
171879,7.896328752,0,0,290.2081967,NA,212
171969,7.910609183,24,0,38.74882393,1.97,608
172083,6.148472917,5,9,199.4540553,0,760
172087,74.86653183,11,1,121.9180515,16358.64,579
172087,74.86653183,1,1,155.2958676,1880.53,607
172215,5.61618695,2,0,77.32784497,150.3,761
172218,5.803187657,2,9,109.7292727,1472.37,761
172290,3.501586841,24,1,567,415.26,761
172307,8.917504319,0,4,33.56321206,0.33,761
172307,8.917504319,2,4,33.34850818,0.88,761
172395,30.7981813,8,8,48.75637521,0.83,762
172431,9.808888648,3,0,73.83198342,NA,276
172431,9.808888648,0,0,82.01871192,NA,154
172538,12.10083259,4,2,164.0690689,51.83,763
172828,7.219865345,3,9,101.9846008,0.36,584
172948,12.1166027,13,5,343.2806671,232.72,584
172948,12.1166027,10,0,274.5663197,203.16,371
172991,81.29779236,6,9,79.34552862,0,765
172991,81.29779236,7,0,56.16539158,0.15,340
173232,3.771266417,0,0,114.0588183,NA,219
173428,66.01619999,3,4,217.9564142,11950.97,586
173448,14.01671231,8,0,136.7883757,2.34,586
173448,14.01671231,3,4,110.7451099,115.7,767
173552,8.324562948,2,0,248.2449828,8.79,373
173552,8.324562948,0,2,192.6172339,14839.88,586
173863,1.586713629,0,NA,106.6607641,NA,588
174117,11.25325847,2,6,39.57544832,0,589
174241,70.93298273,7,2,97.5114504,29306.17,771
174425,4.249033712,0,0,311.6492147,NA,164
174425,4.249033712,20,0,90.71977592,NA,378
174491,3.105303619,0,0,206.3701221,NA,317
174526,128.9645088,22,3,103.1531369,568.93,772
174731,14.63612828,7,9,175.7092973,1219.52,592
174731,14.63612828,0,4,82.91430438,0.94,287
174733,352.9901928,24,0,1487.849789,NA,379
174926,103.2486551,2,0,326.4665781,NA,288
174926,103.2486551,2,9,550.5296828,7297.49,593
174966,10.18336313,8,7,97.45354172,7.47,774
174966,10.18336313,12,9,81.26609152,4.25,774
175185,658.7672409,21,7,424.9209353,0.36,775
175185,658.7672409,10,0,653.3669752,0.37,594
175211,11.72248518,2,0,106.35267,NA,774
175211,11.72248518,2,0,104.7729445,NA,594
175262,5.588925221,10,8,176.4635563,0,594
175320,14.73995898,8,0,106.3729655,330.75,381
175405,3.409130912,2,0,68.86405631,31.8,776
175405,3.409130912,3,2,90.91890561,3480.76,776
175478,6.458905879,0,0,164.6112352,NA,230
175591,21.08784878,5,2,137.0082577,1449.51,597
175637,7.187128865,9,0,140.5587838,NA,353
175637,7.187128865,10,0,95.14242039,NA,778
175639,13.52271906,0,9,559.7932819,0,778
175944,71.7136594,5,8,1962.301083,54266.33,598
175944,71.7136594,2,1,972.9792084,43878.38,293
175975,15.90833385,0,0,141.9471429,NA,79
175975,15.90833385,2,2,332.8425231,10184.08,598
175993,1.637869204,25,10,120.6044576,2068.65,598
176008,14.77404636,10,9,92.05895377,0.05,598
176008,14.77404636,0,0,87.8404878,0.12,293
176087,18.46786912,0,3,92.78430284,2180.23,386
176087,18.46786912,1,4,100.9660612,4950.75,780
176182,21.53691119,0,0,222.7015921,NA,785
176182,21.53691119,5,0,222.5375135,NA,604
176200,13.59057603,2,3,100.6148728,1345.98,779
176203,20.25933266,2,5,34.30497702,0.24,786
176203,20.25933266,20,2,46.37158296,614.07,786
176283,67.24187935,3,5,179.9276612,0.19,599
176283,67.24187935,0,3,137.3737374,0.07,780
176331,55.70069935,16,0,82.45582809,NA,600
176349,18.33464052,0,0,131.1025106,NA,781
176360,48.32714523,3,9,579.2182579,18908.8,600
176725,22.62938467,2,0,118.0261585,537.51,602
177115,10.1583913,10,0,288.7596876,10221.04,605
177195,162.6955683,11,0,236.4355043,NA,605
177195,162.6955683,8,2,209.8032663,18.75,779
177343,13.78124283,9,3,64.51946262,2307.6,597
177462,183.0617431,4,1,2096.137725,5704.67,606
177702,10.81738828,0,0,63.42163561,NA,272
177702,10.81738828,15,0,48.71510188,NA,394
180699,8.71995002,10,0,48.58595777,5496.35,412
180699,8.71995002,8,0,52.30706044,4048.3,412
180735,328.5693356,9,1,269.2599745,0,412
180735,328.5693356,10,6,242.8581192,0,412
180862,3.302513374,0,6,253.8360151,3032.68,413
180938,7.668321321,2,7,189.8914199,783.82,412
181135,30.15639729,8,10,275.0398969,121.01,414
181138,8.089858835,13,0,104.876429,NA,414
181313,18.81442691,5,3,107.7561072,1132.49,415
181313,18.81442691,0,0,113,575.44,415
181391,15.33787041,3,1,138.8110482,71413.1,416
181505,6.418772859,15,0,156.4083805,13544.01,416
181505,6.418772859,1,0,145.3403777,NA,416
181663,118.1436007,1,3,384.0562386,5724.78,416
181663,118.1436007,0,10,212.5995253,208.52,417
181671,35.35104102,5,6,112.8172219,29230.91,416
181671,35.35104102,14,9,225.8331575,1558.24,416
181705,15.96731089,10,0,78.32907273,1129.26,419
181705,15.96731089,5,7,184.0644452,96.38,419
181915,5.794369105,18,0,82.56155195,NA,418
181915,5.794369105,0,0,79.75557339,515.49,418
181927,38.20014151,0,5,1770.447112,575.93,413
181990,35.72232868,0,3,108.5335465,0.91,419
181990,35.72232868,6,3,113.4753306,0.72,419
182104,918.2136257,31,0,1063.291045,0,419
182104,918.2136257,19,5,366.4593309,NA,419
182218,6.305410056,0,0,911.6738776,NA,420
182218,6.305410056,2,0,647.0012551,2577.83,420
182514,39.28380321,9,4,1923,63732.24,421
182637,13.78742111,18,9,196.2066849,16000.51,421
182672,6.199792802,0,5,186,0,422
182716,5.318682391,24,2,78.20263141,9170.42,422
182728,1.049899366,11,9,55.08748201,0.09,422
183151,14.52151795,0,0,2331.39623,532.95,395
183461,2.186216842,4,1,49.03824504,1059.36,397
183510,39.37318562,0,0,1095,NA,397
183530,16.86755445,14,0,238.7629398,53803.25,397
183530,16.86755445,41,0,107.6928743,76866.55,397
183697,6.244539672,0,0,221.8095203,253.43,398
183967,7.512847086,0,2,205.2029478,1323.32,399
183967,7.512847086,0,0,178.4628598,0.63,399
183973,45.68151076,7,3,391.2206697,40982.26,399
184480,70.39277205,0,5,701.1584228,1634.58,402
184596,14.16596286,0,10,125.272353,1.24,402
184596,14.16596286,0,10,93.10885709,1521.07,403
184790,1.007422478,5,0,128.7339286,NA,404
184802,8.689742334,10,2,105.4071469,443.45,404
184802,8.689742334,8,1,67.50115431,772.56,404
185046,7.189673423,1,5,499.502597,223.55,405
185603,7.926725628,0,10,363.8597159,0.5,408
185603,7.926725628,0,8,352.2674688,0,408
185669,7.344486116,2,10,109.8896999,578.7,398
185743,9.428843029,2,5,137.7291953,1.42,409
185784,17.42792029,5,0,67.21288552,83.1,409
185784,17.42792029,0,0,56.07749446,NA,409
185797,469.0733625,5,0,162.5994874,NA,409
185874,4.583059675,0,0,106.7852304,884.61,409
185936,4.132916806,0,0,253.6006556,2.21,410
185945,26.73272895,16,9,96.00720698,0.63,410
186161,10.31984959,0,1,615.4939573,9957.29,411
186161,10.31984959,4,0,81.3538318,NA,411
186422,16.84356778,17,10,223.3502685,2488.8,412
186422,16.84356778,12,6,213.2158366,0,412
186697,6.56564513,6,0,1528.127588,NA,413
186789,11.97216978,0,5,188.0335824,64.74,413
186813,4.654887107,15,9,1223.745513,505.81,414
186933,19.36555858,0,0,12.9249418,7245.17,414
186933,19.36555858,0,1,13.84078396,8047.45,414
186935,9.364222614,0,0,131.180986,NA,414
186968,4.495381394,0,2,67.48948534,28.79,415
186968,4.495381394,0,0,275.7,NA,416
187139,24.13244034,9,7,518.7142079,149896.8,416
187185,26.69694002,0,5,134.9051128,23172.95,416
187185,26.69694002,6,1,173.3183025,17732.92,416
187200,332.8315122,17,7,54.60050718,0,416
187200,332.8315122,17,8,177.110854,0,416
187228,1.331262176,1,4,190.6216732,95.98,416
187619,82.66038328,5,9,1659.5167,46221.35,418
187758,16.84429053,10,9,145.8011312,0.78,419
188032,17.44067461,0,7,109.8730089,1893.48,418
188079,3.493176646,0,0,392,410.26,420
188105,21.04158124,0,1,220.6152683,0,420
188105,21.04158124,14,5,219.6001854,0,420
188204,3.871545793,27,4,3867.127727,2052.98,421
188204,3.871545793,0,1,3700,12858.38,421
188909,46.97607385,8,8,118.8529942,799.4,396
189058,2.546152516,0,0,117,NA,397
189146,41.7495163,3,8,3324.014124,269.07,398
189342,9.265797296,0,0,83.18282429,1188.77,400
189342,9.265797296,18,0,79.05752592,NA,400
189356,25.66706547,0,10,166.3869582,3680.32,400
189376,1.547700297,0,0,70,NA,400
189634,59.7120065,1,6,752.8561267,0,401
189741,9.320297306,0,10,132.4762277,4679.72,402
189741,9.320297306,5,10,128.9722693,2061.55,402
189863,6.079966589,0,0,86.43767873,NA,402
189941,27.35684026,12,10,282.9250044,0,403
190194,2.293150082,0,1,80.75839277,566.52,404
190238,1.358952131,0,10,78.17781305,28.57,404
190430,13.20394728,6,10,67.61907584,0.87,407
190495,35.15750916,17,9,104.5196394,0,407
190512,11.91728359,2,7,678.8794597,2701.81,407
190512,11.91728359,2,0,79.6644491,4273.98,407
190601,5.757952885,8,0,19.5606356,0,407
190601,5.757952885,2,0,194.2468902,0,407
190870,7.399176428,5,9,115.3140193,44508.77,409
190870,7.399176428,0,0,NA,NA,409
190909,3.788529465,0,0,80.52259,36.7,409
190974,16.92699694,0,5,287.8116,3434.61,409
190974,16.92699694,0,0,161.9195,1902.1,409
191035,31.0383806,6,7,406.6911,4092.6,410
191106,10.97494947,0,4,153,13.1,408
191106,10.97494947,4,9,94.56989,7.16,408
191285,3.012036165,0,0,116.516,216.02,411
191303,5.030841153,23,5,596,336.7,411
191335,89.74902462,10,0,2937.461,0.98,411
191389,6.963363745,8,10,632,4.49,412
191412,18.95249703,0,2,126,38.23,412
191781,29.22925674,25,9,114.645,0,415
191863,11.40454722,15,9,62.3478,1659.57,415
191873,13.22674859,15,10,32.65703,5936.94,415
192024,105.5534978,9,5,77.31007,0,415
192024,105.5534978,7,3,80.19213,0,415
192095,146.5174073,2,7,88.89591,23160.53,416
192246,10.50475159,0,0,114,NA,417
192246,10.50475159,0,9,89.5959,0.15,417
192420,3.965553446,0,4,465.0275,449.57,418
192423,11.32367171,2,0,1494.558,NA,418
192879,46.14380291,0,0,199.1868,267.27,421
192879,46.14380291,2,7,142.189,906.17,421
193039,30.44880537,0,0,137.4779,0,422
193039,30.44880537,0,1,185.2236,48364.82,422
193120,2.969230272,0,1,219.6379,2262.15,422
193357,25.14087173,1,0,760.634,3692.71,424
193359,2.486982628,0,1,180.5498,2145.15,413
193369,58.72969658,8,0,238.4435,NA,423
193431,16.95196791,0,4,903.3909,4650.36,424
193592,8.716085978,2,4,2951.041,7260.36,425
193812,5.755971136,0,0,152,NA,396
193812,5.755971136,10,0,86.3062,3580.95,396
193962,13.24549861,21,10,660.5842,8650.1,397
193971,16.79291342,5,0,138.7413,NA,397
194145,26.25618397,1,8,132.0673,0,399
194145,26.25618397,30,9,24.77312,0,399
194300,2.512362991,0,5,721.3485,2609.31,399
194670,54.73078594,0,0,133.1767,4.65,401
194889,2.206743143,2,4,1166.085,562.95,404
194890,8.75100345,5,0,196.5189,3430.15,404
194949,9.416504156,0,3,237.3213,208.34,404
194949,9.416504156,2,0,128.3489,190.12,404
195035,6.382313822,9,10,104.0163,0,405
195068,29.93865803,1,2,346.9844,39.98,405
195070,105.699089,0,0,104.0082,1519.15,405
195070,105.699089,0,2,145.0726,17274.33,405
195141,6.624227807,5,0,221.276,NA,405
195141,6.624227807,10,0,224.3921,NA,405
195244,8.861963141,2,2,732.9669,117.23,406
195246,47.79321691,1,8,659.4075,700,406
195335,20.2384014,0,9,125.6873,0,406
195335,20.2384014,8,9,153.7423,0.02,406
195442,11.48949024,1,9,364.7177,126.55,407
195660,76.36280716,16,1,224.5771,0,409
195660,76.36280716,1,10,160.9873,0,409
195694,203.5605947,10,0,3106.346,0.08,407
195694,203.5605947,0,0,1770.892,0.73,409
195741,3.41296001,0,2,389,24.82,411
195790,124.6878783,1,1,194.5217,8427.48,410
195790,124.6878783,5,0,241.2222,19013.43,412
195809,40.49695541,9,4,697.7293,0,411
195851,12.58773653,0,10,149.9111,0,398
196183,79.19139066,0,8,360.1316,33883.91,413
196183,79.19139066,0,7,579.3597,79003.72,413
196214,76.75519402,15,0,242.062,12414.2,413
196264,5.512377766,25,10,1383.37,3677.8,413
196362,90.94300248,2,10,236.3348,0,414
196362,90.94300248,9,4,319.9567,78.98,414
196365,25.61947842,0,0,89.53267,NA,414
196365,25.61947842,11,5,134.8717,0,414
196420,9.146908051,0,0,100.162,0.34,414
196442,5.932226311,4,1,141.6051,2226.86,414
196471,63.86933984,9,10,256.8544,0,415
196471,63.86933984,3,10,277.2572,414.04,415
196473,1.820009115,8,0,158.9757,102.79,414
196519,5.228095232,20,0,32.03019,NA,418
196558,18.93578236,0,7,147.8396,5434.65,415
196727,58.52041578,1,10,1242.253,68172.59,418
196732,9.832635266,10,0,148.8352,1117.67,416
196732,9.832635266,7,2,116.5365,380.58,416
196885,27.03929035,0,6,166.2028,4647.37,418
196885,27.03929035,0,5,160.2946,1974.38,418
196979,36.9800572,9,5,2057,27508.91,418
197338,3.534164074,1,5,31.01988,0,420
197378,24.48523095,9,6,266.1016,15.66,420
197378,24.48523095,1,1,320.9647,16103.46,420
197627,6.461136529,8,10,149.6487,0,422
197737,7.717472205,13,0,106.5046,NA,425
197891,8.426020587,0,0,150.9551,17063.24,425
197894,10.57255659,0,6,574.0977,4407.01,425
197952,5.962785353,0,0,963.0713,0.69,425
198172,5.762785154,0,0,393.9951,45.99,398
198223,43.5529933,7,6,93.32011,4581.06,398
198225,5.691066021,10,10,56.53555,4.12,397
198240,0.665696574,0,3,251.1133,3882.07,397
198263,28.25484659,1,3,133.1816,6348.49,414
198263,28.25484659,0,0,186,NA,397
198373,11.89421889,0,7,156.9642,11745.13,398
198508,83.35652583,11,3,169.7205,30171.22,399
198508,83.35652583,9,6,146.8693,23958.93,399
198615,6.722597638,0,0,225.9424,NA,400
198718,13.4102328,0,1,1119.584,0,401
198718,13.4102328,0,0,197.6851,100,401
198760,38.96273739,9,10,251.4665,1.19,401
199043,8.56926943,0,5,373.1026,1.62,403
199043,8.56926943,0,6,376.3858,3.16,403
