transport_id,amt_apply_w,initial_amt_w,fluctuate_amt_w,cms_final_amt_w,month_decision,max_platform,age,MobDr1to6_od10,MobDr1to6_od15,MobDr1to6_od30
42598,4,36.23474008,43.86124528,43.86124528,2015-12,JINGDONG,33,0,0,0
43577,20,15.07154656,13.75987946,13.75987946,2015-12,JINGDONG,28,0,0,0
47301,50,25.13184812,37.69777218,37.69777218,2015-12,JINGDONG,32,0,0,0
45657,100,64.9180641,97.37709615,97.37709615,2015-12,JINGDONG,31,0,0,0
49913,10,10.19702772,13.58055826,5.8305,2015-12,JINGDONG,36,1,1,1
52013,20,11.75115179,10.07488879,10.07488879,2015-12,JINGDONG,33,0,0,0
52015,10,7.435686378,11.15352957,11.15352957,2016-01,JINGDONG,29,1,0,0
51354,150,64.93288104,97.39932156,97.39932156,2016-01,JINGDONG,32,0,0,0
56862,10,7.064817503,10.59722625,10.59722625,2016-01,JINGDONG,25,0,0,0
57065,2,1.865656,2.336778503,2.336778503,2016-01,JINGDONG,30,0,0,0
56811,20,16.07467381,22.06414361,22.06414361,2016-01,JINGDONG,26,0,0,0
60786,30,18.77180266,28.15770399,28.15770399,2016-01,JINGDONG,25,0,0,0
66167,150,33.90776583,50.86164875,29.264227,2016-01,JINGDONG,33,0,0,0
66763,60,27.97775136,32.35688511,32.35688511,2016-02,JINGDONG,30,0,0,0
67470,20,35.33110214,38.36594094,38.36594094,2016-02,JINGDONG,30,0,0,0
69578,10,33.25612425,33.98061525,33.98061525,2016-02,JINGDONG,32,0,0,0
69814,30,9.205130003,7.00657252,7.00657252,2016-02,JINGDONG,34,0,0,0
69298,100,11.28157054,16.9223558,16.9223558,2016-02,JINGDONG,25,0,0,0
71931,15,24.00725216,22.4081569,22.4081569,2016-02,JINGDONG,30,0,0,0
73468,10,24.91803527,37.3770529,37.3770529,2016-02,JINGDONG,22,0,0,0
75461,10,1.225190535,1.121110804,2,2016-02,JINGDONG,35,1,1,1
76876,100,8.884371296,10.64225304,10.64225304,2016-03,JINGDONG,35,0,0,0
82129,15,3.576317786,4.990542006,4.990542006,2016-03,JINGDONG,27,0,0,0
84665,30,34.19637349,51.29456024,51.29456024,2016-03,JINGDONG,28,0,0,0
81957,200,184.2914609,276.4371913,100,2016-03,JINGDONG,46,0,0,0
84730,50,119.4234884,108.4863772,100,2016-03,JINGDONG,34,0,0,0
